source,title,link,published,summary,fetched_at
NYT > World News,Syria Tiptoes Toward Transitional Justice One Year After Assad’s Ouster,https://www.nytimes.com/2025/11/29/world/middleeast/syria-civil-war-assad.html,"Sat, 29 Nov 2025 10:00:06 +0000","Fourteen people are on trial, charged with crimes related to an outbreak of sectarian violence under the new government. The abuses of the old Assad regime still await a reckoning.",2025-11-29T13:55:17.122231
NYT > World News,Russia Bombards Ukraine for Nearly 10 Hours in a Deadly Assault,https://www.nytimes.com/2025/11/29/world/europe/ukraine-kyiv-missiles.html,"Sat, 29 Nov 2025 09:38:35 +0000",The attack came as U.S. officials were expected to hold peace talks with Ukrainian and Russian officials in the coming days.,2025-11-29T13:55:17.122231
NYT > World News,Pope Leo to Visit Turkey and Lebanon,https://www.nytimes.com/2025/11/26/world/middleeast/pope-leo-trip-turkey-lebanon.html,"Sat, 29 Nov 2025 12:47:19 +0000","On his last day in Turkey, Leo XIV visited Istanbul’s Blue Mosque where, unlike his two most recent predecessors, he did not visibly pray. The pope heads to Lebanon on Sunday.",2025-11-29T13:55:17.122231
NYT > World News,Deadly Hong Kong Fire Is a Test of Beijing’s Rule in the City,https://www.nytimes.com/2025/11/29/world/asia/hong-kong-fire-beijing-john-lee.html,"Sat, 29 Nov 2025 13:15:53 +0000","After Beijing reshaped the political order in Hong Kong in its image, the fire has become a test of how well that new system can govern in a crisis.",2025-11-29T13:55:17.122231
NYT > World News,Where Hundreds of Undocumented Migrants Have Died in Custody,https://www.nytimes.com/2025/11/29/world/asia/where-hundreds-of-undocumented-migrants-have-died-in-custody.html,"Sat, 29 Nov 2025 05:01:08 +0000","Malaysia launched a “year of enforcement” in response to a surge in undocumented migrants, many of them from Myanmar. Some faced nightmarish fates.",2025-11-29T13:55:17.122231
NYT > World News,"South Africans Were Promised Job, but Ended Up ‘Going to War’ for Russia",https://www.nytimes.com/2025/11/29/world/africa/south-africa-russia-ukraine-fighters-zuma.html,"Sat, 29 Nov 2025 05:03:34 +0000",The South African government is investigating how more than a dozen men unwittingly ended up on the front line in Russia’s war on Ukraine.,2025-11-29T13:55:17.122231
NYT > World News,"As Cyclone Deaths Pass 120, Sri Lanka Is Overwhelmed by Rescue Demand",https://www.nytimes.com/2025/11/29/world/asia/sri-lanka-cyclone-ditwah-floods.html,"Sat, 29 Nov 2025 08:54:59 +0000",Rescue efforts across the nation of 23 million have been hampered by disruptions in transport and telecommunications.,2025-11-29T13:55:17.122231
NYT > World News,State Department Boosts Resources to Process Business Visas for South Koreans,https://www.nytimes.com/2025/11/29/us/politics/state-dept-south-korea-visas.html,"Sat, 29 Nov 2025 06:06:23 +0000",The Trump administration has been trying to repair the damage from the detention of hundreds of South Koreans in an immigration raid in Georgia.,2025-11-29T13:55:17.122231
NYT > World News,Andriy Yermak Resigns: What to Know About Ukrainian Official,https://www.nytimes.com/2025/11/28/world/europe/yermak-zelensky-ukraine-what-to-know.html,"Fri, 28 Nov 2025 19:42:18 +0000",The chief of staff to President Volodymyr Zelensky of Ukraine was seen as the second-most powerful person in Ukraine. He was dismissed on Friday.,2025-11-29T13:55:17.122231
NYT > World News,"Rebel Nuns Can Live in Old Abbey, if They Give Up Social Media",https://www.nytimes.com/2025/11/28/world/europe/austria-nuns-abbot-escape-senior-home.html,"Fri, 28 Nov 2025 18:20:40 +0000","After the octogenarian nuns refused to return to their senior center, the abbot has finally folded. But he has some conditions.",2025-11-29T13:55:17.122231
NYT > World News,Highlight Reel,https://www.nytimes.com/2025/11/29/briefing/highlight-reel.html,"Sat, 29 Nov 2025 11:11:18 +0000","As the year comes to a close, we want to know your highly specific, idiosyncratic bests of 2025.",2025-11-29T13:55:17.122231
NYT > World News,Fresh Reporting on Asylum Seekers at the U.S.-Canadian Border,https://www.nytimes.com/2025/11/29/world/canada/asylum-seekers-us-canada-border.html,"Sat, 29 Nov 2025 11:00:06 +0000",Canada has made its border with the United States tougher to cross. Here’s what we learned through monthlong reporting on a single case.,2025-11-29T13:55:17.122231
NYT > World News,"Trump to Pardon Juan Orlando Hernández, Honduran Ex-Leader Convicted in Drug Case",https://www.nytimes.com/2025/11/28/world/americas/trump-pardon-honduras-hernandez.html,"Sat, 29 Nov 2025 05:32:13 +0000",Juan Orlando Hernández was accused of receiving millions in bribes and partnering with cocaine traffickers. He was convicted in Manhattan in 2024 and sentenced to 45 years in prison.,2025-11-29T13:55:17.122231
NYT > World News,"Trump Spoke by Phone Last Week With Maduro, Venezuela’s Leader",https://www.nytimes.com/2025/11/28/us/politics/trump-spoke-by-phone-last-week-with-maduro-venezuelas-leader.html,"Fri, 28 Nov 2025 21:25:43 +0000","They discussed a possible meeting between the two of them, but nothing has been scheduled, and the administration continues to increase the military pressure on Venezuela.",2025-11-29T13:55:17.122231
NYT > World News,Parts of Southern Ontario Pummeled by Snow Squalls and Heavy Winds,https://www.nytimes.com/2025/11/28/weather/snow-ontario-quebec-forecast.html,"Sat, 29 Nov 2025 00:07:32 +0000","More localized bands of squalls were expected to form, with up to two feet of snow possible in some areas, according to Canada’s forecast agency.",2025-11-29T13:55:17.122231
NYT > World News,Trump’s Response to Shooting Shows Intensified Anti-Migrant Stance,https://www.nytimes.com/2025/11/28/us/politics/trumps-response-to-shooting-shows-intensified-anti-migrant-stance.html,"Sat, 29 Nov 2025 04:34:03 +0000",The president is furiously demanding limits on migration and attacking ethnic groups as he steps up his efforts to equate immigration with crime and economic distress.,2025-11-29T13:55:17.122231
NYT > World News,"A Hong Kong Fire Survivor’s Escape, in His Own Words",https://www.nytimes.com/2025/11/28/world/asia/hong-kong-fire-survivor-escape-story.html,"Sat, 29 Nov 2025 08:44:18 +0000","In his own words, William Li, a resident of the Hong Kong apartment complex that became an inferno, recounted how he and two neighbors survived until help arrived.",2025-11-29T13:55:17.122231
NYT > World News,Officials Had Been Warned for Over a Year Before Hong Kong Fire,https://www.nytimes.com/2025/11/28/world/asia/hong-kong-fire-officials-warned.html,"Sat, 29 Nov 2025 03:46:48 +0000","Residents of Wang Fuk Court apartments had raised concerns about flammable foam panels and scaffold netting, but the government did not take decisive action.",2025-11-29T13:55:17.122231
NYT > World News,"Andriy Yermak, Zelensky’s Chief of Staff, Resigns",https://www.nytimes.com/2025/11/28/world/europe/zelensky-yermak-resigns-ukraine-corruption-scandal.html,"Fri, 28 Nov 2025 18:48:26 +0000","Andriy Yermak, President Volodymyr Zelensky’s chief of staff and top peace negotiator, became the highest-ranking casualty of an investigation into a vast kickback scheme.",2025-11-29T13:55:17.122231
NYT > World News,"Israeli Raid in Southern Syria Kills at Least 13, Syrian Officials Say",https://www.nytimes.com/2025/11/28/world/europe/israel-syria-raid-beit-jinn.html,"Fri, 28 Nov 2025 18:14:43 +0000","The raid was one of Israel’s deadliest cross-border incursions since Bashar al-Assad, Syria’s former dictator, was ousted last year.",2025-11-29T13:55:17.122231
NYT > World News,"Israeli Forces Kill Two Palestinians in West Bank After They Appear to Surrender, Video Shows",https://www.nytimes.com/2025/11/28/world/middleeast/israel-west-bank-shooting-palestinians-video.html,"Fri, 28 Nov 2025 18:15:31 +0000","The Israeli authorities said they were investigating the shooting, which came amid days of extensive military operations in the West Bank.",2025-11-29T13:55:17.122231
NYT > World News,Worker Cleared of Stealing Snacks From Office Fridge After 2 Years in Court,https://www.nytimes.com/2025/11/28/world/asia/choco-pie-custard-theft-court.html,"Fri, 28 Nov 2025 22:35:38 +0000",A South Korean man accused of stealing a Choco Pie and a mini custard cake was acquitted after a prosecution that drew widespread criticism.,2025-11-29T13:55:17.122231
NYT > World News,Aftershocks of an Art Crime Reverberate in Japan,https://www.nytimes.com/2025/11/28/world/asia/japan-art-forgeries.html,"Fri, 28 Nov 2025 17:13:19 +0000","At least four works by a famous convicted forger have been discovered in Japan. Transparency about the mistakes, however, has sparked as much curiosity as scandal.",2025-11-29T13:55:17.122231
NYT > World News,Hondurans Fear Unrest Ahead of Election as Trump Endorses a Candidate,https://www.nytimes.com/2025/11/28/world/americas/honduras-election-trump-administration.html,"Fri, 28 Nov 2025 22:13:27 +0000","On Sunday, voters will choose between a left-wing presidential candidate and two conservatives, one backed by President Trump. The results are likely to be bitterly contested.",2025-11-29T13:55:17.122231
NYT > World News,Home of Ukraine’s Lead Negotiator Is Searched in Corruption Case,https://www.nytimes.com/2025/11/28/world/europe/ukraine-yermak-corruption-peace-talks.html,"Fri, 28 Nov 2025 13:40:12 +0000","The scrutiny of Andriy Yermak, President Volodymyr Zelensky’s chief of staff, could disrupt U.S.-led peace talks and further rattle Ukrainian politics.",2025-11-29T13:55:17.122231
NYT > World News,Death Toll Rises to 128 in Hong Kong High-Rise Fire,https://www.nytimes.com/2025/11/28/world/asia/hong-kong-fire.html,"Sat, 29 Nov 2025 02:38:54 +0000","Hope of finding survivors has dwindled, with many residents of the Wang Fuk Court towers still unaccounted for. Eight more people were arrested Friday over the blaze.",2025-11-29T13:55:17.122231
NYT > World News,Sri Lanka Battered by Cyclone as Death Toll Climbs to 69,https://www.nytimes.com/2025/11/28/world/asia/sri-lanka-cyclone-ditwah-toll.html,"Fri, 28 Nov 2025 16:37:48 +0000",Torrential downpours and high winds struck large parts of the island nation as Cyclone Ditwah churned northwest toward India.,2025-11-29T13:55:17.122231
NYT > World News,"In Turkey, Pope Seeks to Soothe an Ancient Christian Divide",https://www.nytimes.com/2025/11/28/world/middleeast/pope-leo-turkey-church.html,"Fri, 28 Nov 2025 17:12:49 +0000","In Istanbul, Pope Leo XIV will meet the patriarch of the Eastern Orthodox Church to show amity between two of the world’s largest Christian groups.",2025-11-29T13:55:17.122231
NYT > World News,Did Myanmar’s Junta Demolish Scam Centers Just for Show?,https://www.nytimes.com/2025/11/28/world/asia/myanmar-scam-centers-junta.html,"Fri, 28 Nov 2025 05:00:22 +0000","Myanmar’s junta made a grand display of demolishing buildings that hosted the centers, even broadcasting the explosions. But the scammers have found new homes.",2025-11-29T13:55:17.122231
NYT > World News,Carney Lifts Climate Laws for New Alberta Pipeline,https://www.nytimes.com/2025/11/27/world/canada/alberta-oil-pipeline-climate-change.html,"Fri, 28 Nov 2025 02:20:34 +0000",Prime Minister Mark Carney reached a tentative deal with the province as part of his program to curb the country’s economic dependence on the United States.,2025-11-29T13:55:17.122231
NYT > World News,Louvre Raising Ticket Prices for Non-European Visitors,https://www.nytimes.com/2025/11/27/world/europe/louvre-higher-ticket-prices.html,"Fri, 28 Nov 2025 18:12:17 +0000","From Jan. 14, visitors to the museum from outside the European Economic Area will pay 45 percent more for entry to help finance its ambitious renovation plan.",2025-11-29T13:55:17.122231
NYT > World News,A.I. and the Trillion-Dollar Question,https://www.nytimes.com/2025/11/28/world/ai-valuations-markets-technology-hongkong-fire.html,"Fri, 28 Nov 2025 05:30:02 +0000",Even the companies building the technology don’t seem exactly sure where it’s headed.,2025-11-29T13:55:17.122231
